dateym,dp,rf,rmrf_y3,cay,exp_rmrf
194712,0.057064108041764615,0.0095,0.15866508845536575,0.10672126914168167,0.2229260282110673
194812,0.06468700345166722,0.0116,0.22499716126063474,0.07608747678128314,0.22931738260779685
194912,0.07121603974872852,0.011000000000000001,0.19947009170295615,0.09145831385245451,0.2543219948300103
195012,0.07171596585054203,0.0134,0.09512490850960131,0.05370641505177254,0.23771558831359874
195112,0.05845594635725573,0.0173,0.18026774429174863,0.026731396121289386,0.18532025397251542
195203,0.05816999876732162,0.0159,0.18092948292859523,0.015880198429460535,0.1819271524074614
195206,0.05739651019371697,0.017,0.21642140356966677,0.02655034120774058,0.18267377709795332
195209,0.05708834965485357,0.0171,0.23193313010461392,0.014870333825203197,0.17704126465703332
195212,0.05521979016462893,0.0209,0.2220275041703288,0.01947279230566412,0.16900227298088927
195303,0.05455116284061682,0.020099999999999996,0.2605870594534565,0.01771350917809933,0.16742883896285585
195306,0.054586213867136524,0.021099999999999997,0.27269319878141807,0.012037434125145019,0.16403333810490078
195309,0.05551014607179138,0.0179,0.2662414479572093,0.011121567022777334,0.17017715312727488
195312,0.05698125081101001,0.016,0.25307212346588503,0.008708508214801292,0.17564377151587918
195403,0.056836124422677735,0.0103,0.19659535652466253,0.017421931932198653,0.18573227888559884
195406,0.055175629709093926,0.0064,0.19092005641858512,0.024726836443186073,0.18883190645573944
195409,0.052537752745058064,0.0101,0.11409963260457534,0.025795294215622988,0.17737051417856003
195412,0.049164628301929934,0.0115,0.04452215954314509,0.02391161299634259,0.16552287103335134
195503,0.04643387438558617,0.0128,0.05386125502454164,0.03492810832873516,0.16072249688098
195506,0.04423735000353404,0.0141,0.045206590237246935,0.02763225638779776,0.15011134268946036
195509,0.042320941099431936,0.0207,0.07764537523860393,0.018305890047445317,0.13294176928046303
195512,0.04160653601775345,0.0254,0.09549712220907591,0.0160531515146225,0.12427035456104561
195603,0.04105615419126238,0.0225,0.07617061569766248,0.004852759208615609,0.12185086741473536
195606,0.04120609577051457,0.024900000000000002,0.10030109036274482,-0.0015175627299051087,0.11677369862194188
195609,0.04117489756471601,0.028399999999999998,0.10226437843784386,-0.002213727405801613,0.11209881921536115
195612,0.040310456035205514,0.0321,0.10707293612466828,-0.006247032811018016,0.10353283187361713
195703,0.04150420343399555,0.0308,0.0911979706875925,-6.470529346547238e-5,0.11091397057954508
195706,0.0415343189349959,0.0329,0.0782257561767652,-0.005701648995595221,0.10616550520800026
195709,0.04243004211030933,0.0353,0.09754165213408572,0.0014567016467221805,0.10855016519573006
195712,0.043295251317868974,0.0304,0.1542038438906752,0.0048919928088642095,0.11835805628510511
195803,0.043981010006474044,0.013000000000000001,0.17925459261973464,0.00601736044504797,0.14214298658590685
195806,0.044497583029725556,0.0083,0.14603550669354415,0.006590995692898005,0.1495957680725374
195809,0.04339113765611634,0.024399999999999998,0.1159479738550433,-0.0058104047602407505,0.12175092504870082
195812,0.03956010253039003,0.0277,0.10220279123815246,-0.009325450978767691,0.10564081042402221
195903,0.036529897162382634,0.027999999999999997,0.08472907662665441,0.0025339577615897113,0.10157582241216725
195906,0.03421000030770394,0.0321,-0.02032112519801066,0.0015725903140033637,0.08969669286152192
195909,0.032884635208022026,0.0404,0.0003931468355955481,0.016027506053295504,0.0815495533127399
195912,0.03279523208726918,0.0449,0.02109935732664292,0.009654911728966376,0.07321990195074705
196003,0.03327397322792738,0.0331,0.06809697273839066,0.009060443397766349,0.08884708476081783
196006,0.03399980715246318,0.0246,0.07110645370512647,0.015839727928225855,0.10403388812415022
196009,0.034640733735057536,0.0248,0.1038328665763979,0.01259471588909733,0.1042757510576475
196012,0.034762063753048966,0.0225,0.08556483412325688,0.011164201670918139,0.10687585017675189
196103,0.033681494942817795,0.0239,0.059406147304433166,0.0010896839245866374,0.09813546908592873
196106,0.032316524073138314,0.0233,0.07103852295614499,-3.717247615409036e-5,0.09463271926625118
196109,0.030885763725941,0.022799999999999997,0.07110355228491261,-0.008687263444859816,0.08782690023005162
196112,0.029573428992335064,0.026000000000000002,0.049511038352355596,-0.008357602204706716,0.08037030130357468
196203,0.029253429254874702,0.027200000000000002,0.06930035633027942,-0.004580320194059517,0.07950790013913742
196206,0.030566714584104763,0.0273,0.15036672045287758,0.006750610528858836,0.08754794901639534
